artist_id;genre;last_updated
71nVj55bVBwK31aOfVjvLY;argentine indie;2022-01-26 04:44:10.852705
71nVj55bVBwK31aOfVjvLY;indie cordoba;2022-01-26 04:44:10.852705
71oonoDczgsf0y7fDFrmqy;psych gaze;2022-01-26 04:44:23.211968
71ssRPaGb11kUul3I0nslm;argentine hardcore;2022-01-26 04:44:31.379525
72A7wLGK8Wqb9jCeHy1aUX;indie platense;2022-01-26 04:44:56.534583
72QBYMv0Q88gLf42pBjwms;indie tucumano;2022-01-26 04:45:05.596732
72TOiPRmc4R1FBT1HS1WpC;rockabilly en espanol;2022-01-26 04:45:28.084115
72XQhTeAhEJOtHVtJ0nZlY;manso indie;2022-01-26 04:45:37.004165
72ynom9cuMQawD43TmcXGG;argentine punk;2022-01-26 04:46:18.967513
73HzrMaQAGRv2nHCiOBlam;folclore santiagueno;2022-01-26 04:48:33.685322
73HzrMaQAGRv2nHCiOBlam;folklore argentino;2022-01-26 04:48:33.685322
73OmY652XPFhdD8jOjDP8G;nuevo folklore argentino;2022-01-26 04:48:59.727159
73R8Ixpy37HaFol7XfcFZX;indie cordoba;2022-01-26 04:49:17.024247
73UaCOx7zJtZ8HlEjTnb0Z;argentine heavy metal;2022-01-26 04:49:49.080664
73UaCOx7zJtZ8HlEjTnb0Z;argentine metal;2022-01-26 04:49:49.080664
73UaCOx7zJtZ8HlEjTnb0Z;latin metal;2022-01-26 04:49:49.080664
73UaCOx7zJtZ8HlEjTnb0Z;spanish metal;2022-01-26 04:49:49.080664
73flNW7YBYMrnp83TEl5Hq;r&b argentino;2022-01-26 04:49:59.299621
73t2c7MoB3LwQjI3OYY3XX;argentine telepop;2022-01-26 04:50:35.793353
73vQG2QcCRTld4tt9cQMpk;rap underground argentino;2022-01-26 04:50:41.805495
74Z8lBlAKCzk5XDqPoBqZa;nuevo folklore argentino;2022-01-26 04:52:30.688002
74iLgy7TMiwthOGMfGob53;blues latinoamericano;2022-01-26 04:53:32.398812
74rb5haBUzWWe7v8MQbZwS;argentine indie;2022-01-26 04:53:58.411349
74rb5haBUzWWe7v8MQbZwS;argentine rock;2022-01-26 04:53:58.411349
74x9mLFwykSABaRCLE58Yg;argentine punk;2022-01-26 04:54:10.173394
75C2SfHvYbsDOVD0SfTnGC;argentine punk;2022-01-26 04:54:25.485963
75DO8anWSqwceTHoXKSEKR;indie platense;2022-01-26 04:54:39.124112
75Ls2clsNSLsuGQqAwBAJa;indie platense;2022-01-26 04:54:46.389760
765lwJRjITnyzWPOjM4Vc1;argentine heavy metal;2022-01-26 04:55:36.895676
765lwJRjITnyzWPOjM4Vc1;argentine metal;2022-01-26 04:55:36.895676
765lwJRjITnyzWPOjM4Vc1;mexican metal;2022-01-26 04:55:36.895676
76AbKnoQ9JwVai2ODJPTpN;argentine alternative rock;2022-01-26 04:55:45.254661
76QgAjgDByqbP2ftVQx9b3;post-punk latinoamericano;2022-01-26 04:55:58.102218
76W4BpmBh7jUMRkNU0svXa;electronica argentina;2022-01-26 04:56:10.727601
76X8p2EEoEJmDhgzLExcbZ;argentine indie;2022-01-26 04:56:26.223798
76hliHkgP5eIbVqLT7NmQ3;argentine indie;2022-01-26 04:57:16.865474
76hliHkgP5eIbVqLT7NmQ3;electronica argentina;2022-01-26 04:57:16.865474
76hliHkgP5eIbVqLT7NmQ3;experimental pop;2022-01-26 04:57:16.865474
76hliHkgP5eIbVqLT7NmQ3;folktronica;2022-01-26 04:57:16.865474
76lCv739CmdVY6MN3uwqGD;cantautora argentina;2022-01-26 04:57:32.662453
771GJSPMHcztH6lJkRZ7iw;indie folk argentino;2022-01-26 04:58:05.250163
77Yo8B38sUhAU3ggd1RDIS;symphonic power metal;2022-01-26 04:59:01.431286
77cMdN9JK8HlrCtHdPKSHi;argentine indie;2022-01-26 04:59:30.178387
77cMdN9JK8HlrCtHdPKSHi;electronica argentina;2022-01-26 04:59:30.178387
77cMdN9JK8HlrCtHdPKSHi;pop electronico;2022-01-26 04:59:30.178387
77pCqwW8HaKBjkTHe395eo;trap argentino;2022-01-26 05:00:02.516068
785ST66KpGzqb8PPeMiRIe;indie cordoba;2022-01-26 05:00:15.797258
788H4Wpto003NzzZVZeeaz;latin surf rock;2022-01-26 05:00:34.153496
788H4Wpto003NzzZVZeeaz;surf music;2022-01-26 05:00:34.153496
78hoprvwWi9cDX4KJvpECc;pop argentino;2022-01-26 05:00:46.463922
78tiXC9u3a6PyQHB94GBnV;guitarra argentina;2022-01-26 05:02:33.573371
78tiXC9u3a6PyQHB94GBnV;tango;2022-01-26 05:02:33.573371
78zsYF4rCUXaduT18aW4aW;rap underground argentino;2022-01-26 05:02:48.195952
793ACUr9nbTLP7KZUddXzU;chamame;2022-01-26 05:04:16.261612
793ACUr9nbTLP7KZUddXzU;folclore tucumano;2022-01-26 05:04:16.261612
793ACUr9nbTLP7KZUddXzU;folklore argentino;2022-01-26 05:04:16.261612
793ACUr9nbTLP7KZUddXzU;zamba;2022-01-26 05:04:16.261612
7962171njr0mXGlo7bNVWx;rock nacional;2022-01-26 05:04:42.054884
796YUyTCTkXZAZg4CLUoWl;folclore salteno;2022-01-26 05:05:07.176747
796YUyTCTkXZAZg4CLUoWl;folclore santiagueno;2022-01-26 05:05:07.176747
796YUyTCTkXZAZg4CLUoWl;folklore argentino;2022-01-26 05:05:07.176747
79KJ0gUMjDNnDWrT9szmZM;indie folk argentino;2022-01-26 05:05:19.456393
79KyjLxTR5a6vVpPvljowB;argentine indie;2022-01-26 05:05:45.313657
79KyjLxTR5a6vVpPvljowB;argentine rock;2022-01-26 05:05:45.313657
79KyjLxTR5a6vVpPvljowB;deep latin alternative;2022-01-26 05:05:45.313657
79KyjLxTR5a6vVpPvljowB;latin rock;2022-01-26 05:05:45.313657
79KyjLxTR5a6vVpPvljowB;mexican indie;2022-01-26 05:05:45.313657
79KyjLxTR5a6vVpPvljowB;mexican rock;2022-01-26 05:05:45.313657
79Ni1ePx75PABzezrpjmwV;argentine alternative rock;2022-01-26 05:06:03.077089
79R7PUc6T6j09G8mJzNml2;argentine alternative rock;2022-01-26 05:06:17.653779
79R7PUc6T6j09G8mJzNml2;argentine indie;2022-01-26 05:06:17.653779
7AX0qiF0IDK5rHWOFmUuJM;rosario indie;2022-01-26 05:07:09.084562
7An4yvF7hDYDolN4m5zKBp;argentine rock;2022-01-26 05:08:51.001752
7An4yvF7hDYDolN4m5zKBp;latin alternative;2022-01-26 05:08:51.001752
7An4yvF7hDYDolN4m5zKBp;latin rock;2022-01-26 05:08:51.001752
7An4yvF7hDYDolN4m5zKBp;post-punk argentina;2022-01-26 05:08:51.001752
7An4yvF7hDYDolN4m5zKBp;rock en espanol;2022-01-26 05:08:51.001752
7An4yvF7hDYDolN4m5zKBp;ska argentino;2022-01-26 05:08:51.001752
7AtG4USGdk9CSUcYD8lsdr;pop electronico;2022-01-26 05:09:05.829446
7B4W35mskl1bpKV8l9WezH;chamame;2022-01-26 05:09:20.560443
7B4W35mskl1bpKV8l9WezH;folclore santiagueno;2022-01-26 05:09:20.560443
7B4W35mskl1bpKV8l9WezH;folklore argentino;2022-01-26 05:09:20.560443
7B9pJzrDTdS1HCnuNQklaU;argentine heavy metal;2022-01-26 05:10:01.820125
7B9pJzrDTdS1HCnuNQklaU;argentine metal;2022-01-26 05:10:01.820125
7BSwNFPJih9jUzjS9iYS93;argentine ambient;2022-01-26 05:10:18.787604
7BaYvs3P41031o3edkXrce;deep surf music;2022-01-26 05:11:02.782817
7BaYvs3P41031o3edkXrce;latin surf rock;2022-01-26 05:11:02.782817
7BtIqf6x9Ob30b5AVmGl29;cantautora argentina;2022-01-26 05:11:27.311374
7C5brh2Io3srmwvOAiUJzc;rosario indie;2022-01-26 05:11:46.060227
7CAbOypVuQA9Rk7359TMas;indie folk argentino;2022-01-26 05:12:05.823297
7CMEUsgU1PmgGWgJbxXEKb;argentine jazz;2022-01-26 05:12:40.227537
7CSiyutcNoggAxGRxymDHM;rock nacional;2022-01-26 05:12:46.599555
7CZEgK9uHbpW0RdfbWRIQC;rock nacional;2022-01-26 05:13:11.849337
7CZl5RxEVuBnxJEF7QG7cj;cantautora argentina;2022-01-26 05:13:17.786774
7CxCea8zaIGiAiEKJtmCOV;indie cordoba;2022-01-26 05:13:54.922131
7DEnD46VUEAYgm9Bftv8oL;argentine indie;2022-01-26 05:14:03.906638
7E0i3aKAcm8iGK15QePkog;argentine rock;2022-01-26 05:15:11.990444
7E0i3aKAcm8iGK15QePkog;rock en espanol;2022-01-26 05:15:11.990444
7E0i3aKAcm8iGK15QePkog;rock nacional;2022-01-26 05:15:11.990444
7EfP8YWf8PS23uPdAxa4sU;argentine punk;2022-01-26 05:15:51.468744
7EgR8MOSpxSytMngVCVGEu;argentine rock;2022-01-26 05:16:26.950693
7EgR8MOSpxSytMngVCVGEu;latin alternative;2022-01-26 05:16:26.950693
7EgR8MOSpxSytMngVCVGEu;latin rock;2022-01-26 05:16:26.950693
7EgR8MOSpxSytMngVCVGEu;rock en espanol;2022-01-26 05:16:26.950693
7EgR8MOSpxSytMngVCVGEu;rock nacional;2022-01-26 05:16:26.950693
7EgR8MOSpxSytMngVCVGEu;rosario indie;2022-01-26 05:16:26.950693
7Ehk6WZfolR5U1MZvowi9v;argentine alternative rock;2022-01-26 05:16:39.947676
7Ep8GIEVgh5Ejy8IcSovc1;techno argentina;2022-01-26 05:17:42.131167
7ErRTUY0JeZQ4l1gtFiuTe;ska argentino;2022-01-26 05:18:01.159828
7EvR0pIRIeFrKd6lR6bJAR;folklore cuyano;2022-01-26 05:18:17.115530
7EvR0pIRIeFrKd6lR6bJAR;folklore nuevo argentino;2022-01-26 05:18:17.115530
7F0EJprm2nfF3OmKCa4Ox4;argentine alternative rock;2022-01-26 05:18:55.252432
7F5m9Jw4sg853wTDmmJvLi;argentine indie;2022-01-26 05:19:08.955527
7F5m9Jw4sg853wTDmmJvLi;argentine rock;2022-01-26 05:19:08.955527
7F5m9Jw4sg853wTDmmJvLi;latin alternative;2022-01-26 05:19:08.955527
7F5m9Jw4sg853wTDmmJvLi;latin rock;2022-01-26 05:19:08.955527
7F5m9Jw4sg853wTDmmJvLi;rock en espanol;2022-01-26 05:19:08.955527
7F5m9Jw4sg853wTDmmJvLi;rock nacional;2022-01-26 05:19:08.955527
7FGAi3mSjLMsq6p8SErsTA;argentine metal;2022-01-26 05:19:44.559059
7FGAi3mSjLMsq6p8SErsTA;argentine rock;2022-01-26 05:19:44.559059
7FGAi3mSjLMsq6p8SErsTA;latin metal;2022-01-26 05:19:44.559059
7FGAi3mSjLMsq6p8SErsTA;latincore;2022-01-26 05:19:44.559059
7FGAi3mSjLMsq6p8SErsTA;rock en espanol;2022-01-26 05:19:44.559059
7FWepnxBOgJC9J8tpLmOLo;grunge argentina;2022-01-26 05:19:49.731297
7FnZWGw9lwOr7WzieTKEPR;argentine reggae;2022-01-26 05:22:04.133178
7FnZWGw9lwOr7WzieTKEPR;argentine rock;2022-01-26 05:22:04.133178
7FnZWGw9lwOr7WzieTKEPR;latin alternative;2022-01-26 05:22:04.133178
7FnZWGw9lwOr7WzieTKEPR;latin rock;2022-01-26 05:22:04.133178
7FnZWGw9lwOr7WzieTKEPR;reggae en espanol;2022-01-26 05:22:04.133178
7FnZWGw9lwOr7WzieTKEPR;rock en espanol;2022-01-26 05:22:04.133178
7FnZWGw9lwOr7WzieTKEPR;ska argentino;2022-01-26 05:22:04.133178
