artist_id;artist_name;bio;popularidad;followers;saved_albums;total_albums;spotify_url;image_640x640;image_320x320;image_60x60;last_updated
5edtAprgIMkBmHy9AjUDqe;resiste reggae;;0;6;1;1;https://open.spotify.com/artist/5edtAprgIMkBmHy9AjUDqe;https://i.scdn.co/image/ab6761610000e5ebcf2f3ff54acac10f6249e559;https://i.scdn.co/image/ab67616100005174cf2f3ff54acac10f6249e559;https://i.scdn.co/image/ab6761610000f178cf2f3ff54acac10f6249e559;2022-01-26 00:46:23.903163
5el5cbPZc64RtoKhnL2Bzw;las sombras;;23;6289;5;6;https://open.spotify.com/artist/5el5cbPZc64RtoKhnL2Bzw;https://i.scdn.co/image/ab6761610000e5ebde5eb8616503c3a23850d7b6;https://i.scdn.co/image/ab67616100005174de5eb8616503c3a23850d7b6;https://i.scdn.co/image/ab6761610000f178de5eb8616503c3a23850d7b6;2022-01-26 00:46:32.949688
5elGshUqAk1yWo3F4AjTX7;pampa yakuza;;28;13328;14;15;https://open.spotify.com/artist/5elGshUqAk1yWo3F4AjTX7;https://i.scdn.co/image/ab6761610000e5eb2a6fa5a76c8f05f6d987e7e8;https://i.scdn.co/image/ab676161000051742a6fa5a76c8f05f6d987e7e8;https://i.scdn.co/image/ab6761610000f1782a6fa5a76c8f05f6d987e7e8;2022-01-26 00:47:05.842104
5eonkU5l5XrOGCIa4qU500;los gauchos alemanes;;0;181;0;0;https://open.spotify.com/artist/5eonkU5l5XrOGCIa4qU500;;;;2022-01-26 00:47:09.529371
5epUGxXkM9RWiHUzV4n5pX;montes;;2;149;11;22;https://open.spotify.com/artist/5epUGxXkM9RWiHUzV4n5pX;https://i.scdn.co/image/ab6761610000e5eb311cb22d4a42e9607b29dc12;https://i.scdn.co/image/ab67616100005174311cb22d4a42e9607b29dc12;https://i.scdn.co/image/ab6761610000f178311cb22d4a42e9607b29dc12;2022-01-26 00:47:27.463221
5eq2jxpwAZbPTXJVOKXusr;barrio viejo;;18;4015;3;3;https://open.spotify.com/artist/5eq2jxpwAZbPTXJVOKXusr;https://i.scdn.co/image/ab6761610000e5eb362ce523c65720b5439d866c;https://i.scdn.co/image/ab67616100005174362ce523c65720b5439d866c;https://i.scdn.co/image/ab6761610000f178362ce523c65720b5439d866c;2022-01-26 00:47:38.369738
5esSh8neIrdmhnHHGjmx5P;todos los martes;;17;1092;10;10;https://open.spotify.com/artist/5esSh8neIrdmhnHHGjmx5P;https://i.scdn.co/image/ab6761610000e5eb8eb1a29d637429831197a8fc;https://i.scdn.co/image/ab676161000051748eb1a29d637429831197a8fc;https://i.scdn.co/image/ab6761610000f1788eb1a29d637429831197a8fc;2022-01-26 00:47:51.336457
5evBzTbpKcvY32N9OnYDeF;las mil de zafiro;;0;21;5;5;https://open.spotify.com/artist/5evBzTbpKcvY32N9OnYDeF;https://i.scdn.co/image/ab6761610000e5ebf25540ce65847be4fedc40d7;https://i.scdn.co/image/ab67616100005174f25540ce65847be4fedc40d7;https://i.scdn.co/image/ab6761610000f178f25540ce65847be4fedc40d7;2022-01-26 00:48:02.489584
5f2ZFBYh4WedHhHzua12zt;trapacero;;0;45;5;5;https://open.spotify.com/artist/5f2ZFBYh4WedHhHzua12zt;https://i.scdn.co/image/ab6761610000e5ebd141dde6436299f05570b18c;https://i.scdn.co/image/ab67616100005174d141dde6436299f05570b18c;https://i.scdn.co/image/ab6761610000f178d141dde6436299f05570b18c;2022-01-26 00:48:19.349149
5fEYaI7Xa6DagQniWZJ0D4;impuntuales;;0;114;2;2;https://open.spotify.com/artist/5fEYaI7Xa6DagQniWZJ0D4;https://i.scdn.co/image/ab67616d0000b273836824dce597d9ba8c19e4dd;https://i.scdn.co/image/ab67616d00001e02836824dce597d9ba8c19e4dd;https://i.scdn.co/image/ab67616d00004851836824dce597d9ba8c19e4dd;2022-01-26 00:48:28.270179
