artist_id;key_count_C_minor;key_count_Db_minor;key_count_D_minor;key_count_Eb_minor;key_count_E_minor;key_count_F_minor;key_count_Gb_minor;key_count_G_minor;key_count_Ab_minor;key_count_A_minor;key_count_Bb_minor;key_count_B_minor;key_count_C_major;key_count_Db_major;key_count_D_major;key_count_Eb_major;key_count_E_major;key_count_F_major;key_count_Gb_major;key_count_G_major;key_count_Ab_major;key_count_A_major;key_count_Bb_major;key_count_B_major;loudness_count;loudness_mean;loudness_std;loudness_min;loudness_1Q;loudness_median;loudness_3Q;loudness_max;duration_count;duration_mean;duration_std;duration_min;duration_1Q;duration_median;duration_3Q;duration_max;tempo_count;tempo_mean;tempo_std;tempo_min;tempo_1Q;tempo_median;tempo_3Q;tempo_max;danceability_count;danceability_mean;danceability_std;danceability_min;danceability_1Q;danceability_median;danceability_3Q;danceability_max;energy_count;energy_mean;energy_std;energy_min;energy_1Q;energy_median;energy_3Q;energy_max;valence_count;valence_mean;valence_std;valence_min;valence_1Q;valence_median;valence_3Q;valence_max;speechiness_count;speechiness_mean;speechiness_std;speechiness_min;speechiness_1Q;speechiness_median;speechiness_3Q;speechiness_max;acousticness_count;acousticness_mean;acousticness_std;acousticness_min;acousticness_1Q;acousticness_median;acousticness_3Q;acousticness_max;instrumentalness_count;instrumentalness_mean;instrumentalness_std;instrumentalness_min;instrumentalness_1Q;instrumentalness_median;instrumentalness_3Q;instrumentalness_max;liveness_count;liveness_mean;liveness_std;liveness_min;liveness_1Q;liveness_median;liveness_3Q;liveness_max;last_updated
00s60ym6SjjbgRG3pMle4L;0.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;2.0;2.0;1.0;0.0;5.0;0.0;1.0;4.0;3.0;5.0;1.0;2.0;36.0;-7.624;1.204;-10.097;-8.393;-7.482;-6.587;-5.53;36.0;206650.417;39018.37;144904.0;181678.5;201192.0;226709.25;321706.0;36.0;119.062;39.131;73.639;87.0;94.541;155.808;181.838;36.0;0.694;0.079;0.551;0.637;0.7;0.75;0.851;36.0;0.601;0.116;0.378;0.528;0.631;0.679;0.786;36.0;0.785;0.18;0.312;0.67;0.854;0.93;0.981;36.0;0.08;0.053;0.034;0.041;0.059;0.116;0.226;36.0;0.33;0.243;0.017;0.123;0.298;0.5;0.914;36.0;0.027;0.151;0.0;0.0;0.0;0.0;0.907;36.0;0.179;0.138;0.026;0.088;0.142;0.23;0.739;2022-01-31 12:27:25.478963
00wM7TFZEePrWZx7cXfZTv;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;4.0;0.0;1.0;0.0;0.0;11.0;-11.714;0.74;-13.14;-12.172;-11.547;-11.224;-10.705;11.0;227332.909;54715.083;155201.0;201310.0;231215.0;244120.0;356981.0;11.0;112.149;17.73;78.373;99.322;112.305;129.074;135.848;11.0;0.528;0.094;0.364;0.492;0.563;0.595;0.639;11.0;0.405;0.075;0.277;0.368;0.428;0.462;0.483;11.0;0.332;0.124;0.153;0.274;0.319;0.362;0.59;11.0;0.036;0.005;0.029;0.032;0.035;0.038;0.048;11.0;0.57;0.214;0.147;0.466;0.638;0.712;0.813;11.0;0.003;0.009;0.0;0.0;0.0;0.0;0.031;11.0;0.153;0.085;0.06;0.094;0.141;0.17;0.312;2022-01-31 12:27:26.159175
01At21UQAM4XGUBpWZEriA;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;4.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;2.0;1.0;18.0;-8.947;2.207;-12.83;-10.514;-8.986;-7.262;-5.621;18.0;258875.778;82273.659;133000.0;190490.5;255999.5;345000.0;380500.0;18.0;137.006;24.924;105.387;116.386;126.236;159.351;175.15;18.0;0.489;0.152;0.299;0.346;0.471;0.651;0.71;18.0;0.65;0.199;0.265;0.554;0.726;0.785;0.923;18.0;0.496;0.213;0.036;0.372;0.514;0.591;0.961;18.0;0.071;0.116;0.026;0.035;0.038;0.054;0.532;18.0;0.17;0.289;0.0;0.0;0.022;0.149;0.89;18.0;0.057;0.192;0.0;0.0;0.001;0.012;0.819;18.0;0.194;0.125;0.064;0.105;0.144;0.267;0.51;2022-01-31 12:27:26.718305
01VhEYwij98k30Zx6apLEI;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;14.0;0.0;7.0;1.0;0.0;31.0;-5.085;0.828;-7.112;-5.545;-5.226;-4.389;-3.56;31.0;138525.548;32277.991;83386.0;117586.0;137826.0;157786.5;223120.0;31.0;117.793;31.743;73.455;89.359;120.662;142.463;199.289;31.0;0.407;0.078;0.28;0.339;0.412;0.464;0.561;31.0;0.867;0.087;0.58;0.845;0.88;0.931;0.967;31.0;0.619;0.212;0.128;0.48;0.628;0.796;0.93;31.0;0.051;0.021;0.029;0.038;0.046;0.052;0.114;31.0;0.006;0.017;0.0;0.0;0.001;0.003;0.09;;;;;;;;;31.0;0.179;0.156;0.033;0.091;0.13;0.231;0.868;2022-01-31 12:27:27.318923
01m2XZ7m7rAz6KY3scTdaV;1.0;2.0;0.0;0.0;1.0;0.0;0.0;3.0;1.0;1.0;3.0;1.0;2.0;7.0;5.0;0.0;0.0;2.0;2.0;5.0;5.0;3.0;1.0;2.0;47.0;-6.348;1.889;-9.788;-8.035;-6.191;-4.902;-0.482;47.0;232405.532;70058.248;126640.0;184388.0;220147.0;270426.0;456939.0;47.0;125.878;24.341;84.961;112.479;127.97;139.999;180.074;47.0;0.782;0.096;0.515;0.74;0.779;0.848;0.971;47.0;0.656;0.117;0.431;0.568;0.658;0.74;0.931;47.0;0.512;0.203;0.126;0.34;0.509;0.69;0.902;47.0;0.118;0.102;0.033;0.053;0.084;0.129;0.469;47.0;0.234;0.209;0.004;0.054;0.196;0.344;0.791;47.0;0.001;0.007;0.0;0.0;0.0;0.0;0.051;47.0;0.165;0.144;0.05;0.094;0.109;0.172;0.705;2022-01-31 12:27:27.872182
01oUIqelrLi9NFC7Zrhea4;2.0;1.0;5.0;0.0;4.0;1.0;3.0;4.0;0.0;6.0;0.0;2.0;2.0;0.0;1.0;0.0;2.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;37.0;-6.55;3.11;-11.406;-9.51;-6.313;-3.518;-1.42;37.0;198491.541;38757.124;113813.0;173493.0;186800.0;234520.0;263706.0;37.0;114.872;36.542;47.201;87.868;108.524;149.889;205.753;37.0;0.616;0.113;0.42;0.524;0.632;0.707;0.799;37.0;0.577;0.15;0.246;0.449;0.606;0.645;0.834;37.0;0.561;0.242;0.115;0.392;0.552;0.786;0.951;37.0;0.051;0.036;0.028;0.035;0.04;0.048;0.218;37.0;0.584;0.175;0.115;0.513;0.582;0.73;0.826;;;;;;;;;37.0;0.122;0.065;0.048;0.082;0.098;0.137;0.312;2022-01-31 12:27:29.480689
01wapI8D3mMQhUzvrBS8lb;0.0;2.0;0.0;1.0;2.0;0.0;3.0;1.0;0.0;3.0;0.0;2.0;3.0;2.0;0.0;3.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;35.0;-4.742;0.627;-5.862;-5.189;-4.928;-4.316;-3.543;35.0;189578.714;36568.704;119053.0;163993.0;190746.0;217227.0;268800.0;35.0;119.038;22.66;91.426;98.697;109.368;141.844;157.919;35.0;0.461;0.115;0.246;0.366;0.435;0.576;0.674;35.0;0.885;0.101;0.62;0.882;0.899;0.948;0.993;35.0;0.625;0.144;0.282;0.531;0.666;0.724;0.89;35.0;0.059;0.022;0.028;0.04;0.056;0.069;0.121;35.0;0.042;0.058;0.001;0.008;0.022;0.047;0.249;;;;;;;;;35.0;0.158;0.091;0.028;0.102;0.135;0.194;0.376;2022-01-31 12:27:30.094013
01wwxIe4Qgb0a4PCfzBjsf;0.0;0.0;1.0;1.0;14.0;0.0;3.0;1.0;0.0;15.0;0.0;7.0;15.0;0.0;19.0;0.0;8.0;7.0;0.0;16.0;0.0;8.0;1.0;3.0;119.0;-6.583;2.428;-14.457;-7.722;-6.586;-5.054;-1.321;119.0;212710.697;60659.248;86906.0;169819.5;206666.0;239920.0;445640.0;119.0;123.276;24.486;65.123;108.149;129.172;137.092;202.098;119.0;0.555;0.156;0.254;0.439;0.569;0.677;0.922;119.0;0.734;0.205;0.115;0.585;0.776;0.918;0.988;119.0;0.6;0.203;0.135;0.46;0.611;0.766;0.965;119.0;0.06;0.042;0.025;0.035;0.047;0.068;0.257;119.0;0.209;0.261;0.0;0.014;0.078;0.332;0.933;119.0;0.031;0.117;0.0;0.0;0.0;0.0;0.626;119.0;0.304;0.277;0.034;0.108;0.167;0.352;0.973;2022-01-31 12:27:30.826980
01zNB3m5VtB1vpQllADiLY;0.0;2.0;1.0;1.0;12.0;0.0;2.0;1.0;2.0;5.0;1.0;3.0;11.0;1.0;28.0;0.0;2.0;5.0;2.0;23.0;2.0;13.0;0.0;0.0;117.0;-10.468;2.811;-20.322;-12.335;-10.349;-8.527;-4.942;117.0;204068.0;83799.824;12236.0;145713.0;194401.0;242044.0;614920.0;117.0;124.563;27.74;0.0;109.999;125.022;144.015;183.987;117.0;0.437;0.148;0.0;0.334;0.44;0.549;0.817;117.0;0.489;0.21;0.081;0.32;0.473;0.618;0.969;117.0;0.284;0.198;0.0;0.158;0.245;0.401;0.963;117.0;0.05;0.075;0.0;0.031;0.034;0.044;0.794;117.0;0.617;0.348;0.0;0.279;0.733;0.932;0.993;117.0;0.343;0.353;0.0;0.004;0.185;0.68;0.972;117.0;0.249;0.204;0.056;0.107;0.162;0.336;0.951;2022-01-31 12:27:31.831432
02CXQD4KFWaauQIcvLS18d;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;1.0;10.0;-6.81;0.77;-8.235;-7.139;-6.912;-6.449;-5.575;10.0;280254.9;50648.782;193529.0;254103.0;285715.0;308918.0;371632.0;10.0;132.025;35.201;94.913;105.021;120.074;154.937;200.221;10.0;0.619;0.139;0.404;0.492;0.669;0.694;0.779;10.0;0.619;0.077;0.497;0.581;0.624;0.662;0.747;10.0;0.625;0.172;0.335;0.52;0.667;0.757;0.83;10.0;0.075;0.073;0.032;0.043;0.046;0.077;0.275;10.0;0.305;0.23;0.01;0.124;0.261;0.473;0.658;;;;;;;;;10.0;0.125;0.065;0.041;0.081;0.113;0.139;0.248;2022-01-31 12:27:32.852986
